a-durationLastBug,a-durationLastReport,a-bugsLast8hours,a-bugsLast24hours,a-bugsLast1week,a-bugsLast2week,a-bugsLastPast,a-reportsLast8hours,a-reportsLast24hours,a-reportsLast1week,a-reportsLast2week,a-reportsLastPast,e-probSim,e-cosSim,e-eucSim,e-jacSim0.0,e-jacSim0.1,e-jacSim0.3,e-jacSim0.5,p-probSim,p-cosSim,p-eucSim,p-jacSim0.0,p-jacSim0.1,p-jacSim0.3,p-jacSim0.5,le-probSim,le-cosSim,le-eucSim,le-jacSim0.0,le-jacSim0.1,le-jacSim0.3,le-jacSim0.5,lp-probSim,lp-cosSim,lp-eucSim,lp-jacSim0.0,lp-jacSim0.1,lp-jacSim0.3,lp-jacSim0.5,t-beginHours,t-beforeTasks,t-afterTasks,t-reportNum,t-moreReports,t-lessReports,activeTasks,category
8.0,8.0,4.0,10.0,34.0,47.0,172.0,4.0,10.0,44.0,57.0,213.0,135.153382285139,0.3054618274736817,27.58133330257026,0.3842364532019704,0.37438423645320196,0.3251231527093596,0.3054187192118227,290.41153856653415,0.9430668799067651,9.43063139221765,1.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,6.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,52.0,3.0,4.0,266.0,6.0,1.0,7.0,yes
88.0,88.0,0.0,0.0,4.0,6.0,30.0,0.0,0.0,12.0,14.0,49.0,186.98927062834602,0.22445669904432933,55.63868134872085,0.2561576354679803,0.2561576354679803,0.2512315270935961,0.2512315270935961,477.2917809212336,0.7443801968142402,35.676944357036476,1.0,1.0,1.0,0.9950738916256158,3.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,2.0,52.0,3.0,4.0,266.0,6.0,1.0,7.0,yes
601.0,601.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,20.0,307.871586746117,0.19864727731638568,106.05888320177209,0.15763546798029557,0.15763546798029557,0.15763546798029557,0.15763546798029557,795.3593678681483,0.6174693183604142,82.37069202575152,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,52.0,3.0,4.0,266.0,6.0,1.0,7.0,yes
208.0,208.0,0.0,0.0,0.0,22.0,70.0,0.0,0.0,0.0,24.0,84.0,85.30885696439357,0.3116637108932913,15.569229129032413,0.2561576354679803,0.2561576354679803,0.22167487684729065,0.2019704433497537,679.8588424833627,0.7069988759752148,58.29203769929611,1.0,1.0,1.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,52.0,3.0,4.0,266.0,6.0,1.0,7.0,yes
1.0,1.0,4.0,4.0,36.0,65.0,190.0,10.0,10.0,42.0,71.0,250.0,95.3137664542368,0.31903119398480867,17.405456443937602,0.3251231527093596,0.31527093596059114,0.2660098522167488,0.23645320197044334,310.3772687150012,0.9154953354970827,12.163403439808823,1.0,1.0,1.0,1.0,4.0,4.0,4.0,7.0,7.0,6.0,6.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,52.0,3.0,4.0,266.0,6.0,1.0,7.0,yes
1986.0,1970.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,17.0,1076.349204425046,0.1109572047602625,679.2939006330248,0.19704433497536947,0.19704433497536947,0.19704433497536947,0.19704433497536947,165.51385120385967,0.5228891885769662,16.451574408511327,0.5566502463054187,0.5566502463054187,0.5566502463054187,0.5320197044334976,0.0,7.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,52.0,3.0,4.0,266.0,6.0,1.0,7.0,no
9671.0,9671.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,43.735159436207724,0.13313786653087215,21.262685902657513,0.03940886699507389,0.03940886699507389,0.03940886699507389,0.03940886699507389,203.95135739885959,0.586345154119005,17.166081461314555,0.5320197044334976,0.5320197044334976,0.5320197044334976,0.5320197044334976,5.0,3.0,4.0,7.0,7.0,7.0,7.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,52.0,3.0,4.0,266.0,6.0,1.0,7.0,no
10513.0,10513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,3.0,4.0,266.0,6.0,1.0,7.0,no
10513.0,9663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.89166285592063,0.4346974025160554,34.253256043338986,0.3842364532019704,0.3842364532019704,0.3842364532019704,0.3842364532019704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,52.0,3.0,4.0,266.0,6.0,1.0,7.0,no
875.0,875.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,81.67532365818754,0.2182916832894954,23.265224168913097,0.07389162561576355,0.07389162561576355,0.07389162561576355,0.07389162561576355,234.555191686636,0.7091718588712499,14.260207523189507,0.6650246305418719,0.6650246305418719,0.6650246305418719,0.6600985221674877,5.0,0.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,2.0,2.0,52.0,3.0,4.0,266.0,6.0,1.0,7.0,no
