a-durationLastBug,a-durationLastReport,a-bugsLast8hours,a-bugsLast24hours,a-bugsLast1week,a-bugsLast2week,a-bugsLastPast,a-reportsLast8hours,a-reportsLast24hours,a-reportsLast1week,a-reportsLast2week,a-reportsLastPast,e-probSim,e-cosSim,e-eucSim,e-jacSim0.0,e-jacSim0.1,e-jacSim0.3,e-jacSim0.5,p-probSim,p-cosSim,p-eucSim,p-jacSim0.0,p-jacSim0.1,p-jacSim0.3,p-jacSim0.5,le-probSim,le-cosSim,le-eucSim,le-jacSim0.0,le-jacSim0.1,le-jacSim0.3,le-jacSim0.5,lp-probSim,lp-cosSim,lp-eucSim,lp-jacSim0.0,lp-jacSim0.1,lp-jacSim0.3,lp-jacSim0.5,t-beginHours,t-beforeTasks,t-afterTasks,t-reportNum,t-moreReports,t-lessReports,activeTasks,category
1.0,1.0,1.0,14.0,26.0,42.0,380.0,3.0,17.0,32.0,48.0,468.0,175.4895744793246,0.38883216416104,36.87348692568113,0.704,0.696,0.656,0.64,143.12497435152233,0.8770268369391955,7.08774130003714,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,4.0,6.0,6.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
25.0,25.0,0.0,4.0,6.0,6.0,6.0,0.0,4.0,6.0,6.0,6.0,99.4703809162358,0.2947906788151252,27.07012983746593,0.168,0.168,0.168,0.168,977.5466416324439,0.3393825744214224,254.03784571919033,1.0,1.0,0.984,0.928,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,2.0,0.0,0.0,2.0,2.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
1.0,1.0,2.0,13.0,40.0,81.0,401.0,11.0,28.0,69.0,132.0,620.0,169.1391891105748,0.17504553313885632,84.81748533282138,0.616,0.6,0.528,0.432,150.75990552756105,0.8002275725165754,10.183773531867816,1.0,1.0,1.0,0.992,1.0,10.0,1.0,7.0,7.0,8.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
1.0,1.0,1.0,8.0,13.0,14.0,14.0,1.0,8.0,21.0,22.0,22.0,77.07256063874568,0.34809787832598266,16.248592929235482,0.216,0.216,0.216,0.2,591.307623322276,0.3498038080677856,147.6223057633103,1.0,1.0,0.96,0.88,4.0,1.0,5.0,4.0,4.0,4.0,4.0,1.0,9.0,2.0,0.0,0.0,4.0,4.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
25.0,25.0,0.0,4.0,5.0,5.0,5.0,0.0,4.0,5.0,5.0,5.0,75.4475790603293,0.2748775881935875,21.58228117078665,0.112,0.112,0.112,0.112,1195.8975982201284,0.3305795226291864,320.0352425928738,1.0,1.0,0.984,0.936,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
217.0,217.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,5.0,218.21395473184384,0.23923543357865165,78.97106841725167,0.136,0.136,0.136,0.136,1611.1765899962859,0.3225623641145704,443.2773199010548,1.0,1.0,1.0,0.968,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
1.0,1.0,3.0,14.0,38.0,64.0,453.0,4.0,16.0,50.0,77.0,544.0,152.95774063998908,0.4282199996433984,28.11752540440052,0.664,0.656,0.632,0.576,186.55468836992418,0.788462068614895,14.127723029685384,1.0,1.0,1.0,1.0,0.0,6.0,1.0,3.0,3.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
1.0,1.0,2.0,4.0,5.0,12.0,200.0,2.0,5.0,8.0,16.0,280.0,129.58087759648922,0.25338947002098444,43.36360159013207,0.48,0.48,0.376,0.296,161.00374950102545,0.7614632489851076,12.602774895599248,1.0,1.0,1.0,0.992,1.0,9.0,1.0,5.0,5.0,7.0,4.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
1.0,1.0,7.0,35.0,85.0,116.0,1000.0,9.0,38.0,113.0,173.0,1281.0,121.82476119233752,0.6073715740663803,12.348877083325407,0.696,0.672,0.616,0.52,162.50393613692182,0.7873299139506718,11.728906121415836,1.0,1.0,0.992,0.976,3.0,6.0,5.0,7.0,9.0,7.0,9.0,0.0,8.0,0.0,0.0,0.0,2.0,3.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
1.0,1.0,3.0,29.0,43.0,85.0,608.0,6.0,36.0,59.0,112.0,740.0,105.68245422535279,0.5348549206568542,12.895789138377511,0.64,0.608,0.52,0.472,147.25852467619222,0.8347744334769432,8.735320294194969,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,6.0,6.0,5.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
25.0,1.0,0.0,4.0,11.0,11.0,161.0,1.0,5.0,15.0,17.0,202.0,329.26915068685685,0.2159367834198974,134.1992053931643,0.592,0.584,0.552,0.512,198.91513176471705,0.6233269920657151,23.217346342293844,1.0,1.0,1.0,0.976,0.0,9.0,0.0,6.0,5.0,6.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
25.0,1.0,0.0,37.0,103.0,143.0,586.0,6.0,54.0,163.0,246.0,834.0,134.36944185289425,0.6216967763315149,13.462814737367255,0.68,0.664,0.616,0.576,183.39846789152884,0.6364090583383506,20.38325988016136,1.0,1.0,0.984,0.912,0.0,6.0,3.0,7.0,8.0,8.0,7.0,0.0,7.0,3.0,0.0,0.0,3.0,5.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
1.0,1.0,2.0,14.0,60.0,99.0,739.0,5.0,25.0,97.0,158.0,961.0,92.31234445845206,0.5834819818919994,8.878129554410734,0.616,0.592,0.52,0.448,158.99282777314343,0.8136319310455368,10.495338015206785,1.0,1.0,1.0,0.984,1.0,4.0,3.0,7.0,7.0,6.0,6.0,0.0,7.0,1.0,0.0,0.0,0.0,5.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
1.0,1.0,4.0,45.0,109.0,179.0,1179.0,18.0,67.0,156.0,249.0,1477.0,97.43658208549807,0.5543403835591858,11.021211313964425,0.712,0.672,0.552,0.48,143.0620261374277,0.8768621838208721,6.993594262711993,1.0,1.0,1.0,0.984,3.0,4.0,4.0,6.0,7.0,7.0,7.0,0.0,3.0,6.0,0.0,0.0,0.0,7.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
25.0,1.0,0.0,9.0,74.0,113.0,1295.0,1.0,15.0,98.0,169.0,1675.0,134.4779392102858,0.2803727031406098,40.48051268781438,0.712,0.648,0.552,0.432,141.92284130778035,0.9064484659873159,5.964698809249978,1.0,1.0,1.0,1.0,0.0,9.0,1.0,7.0,7.0,7.0,7.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
1.0,1.0,5.0,32.0,113.0,203.0,536.0,16.0,54.0,192.0,325.0,796.0,129.06781121628993,0.5816414435439501,14.304384568653633,0.64,0.624,0.56,0.496,163.81227874387514,0.6599482021467501,16.791350975434096,1.0,1.0,0.992,0.928,0.0,6.0,3.0,7.0,7.0,7.0,7.0,0.0,4.0,4.0,0.0,0.0,5.0,5.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
25.0,1.0,0.0,7.0,11.0,33.0,367.0,2.0,12.0,20.0,51.0,492.0,138.04040052559208,0.25966853973374804,45.264895045445265,0.64,0.624,0.536,0.44,152.02155821561146,0.7441351501135834,12.225205309747116,1.0,1.0,0.984,0.952,0.0,9.0,0.0,4.0,5.0,5.0,4.0,0.0,4.0,4.0,0.0,0.0,7.0,8.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
1.0,1.0,1.0,20.0,52.0,80.0,220.0,2.0,25.0,83.0,136.0,378.0,143.82999267560453,0.2852153953512296,42.47956995572371,0.576,0.552,0.496,0.36,198.06172935551623,0.5527701335510661,27.30655773499412,1.0,1.0,0.96,0.88,1.0,10.0,0.0,5.0,6.0,5.0,6.0,0.0,6.0,4.0,0.0,0.0,6.0,5.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
25.0,25.0,0.0,1.0,8.0,11.0,11.0,0.0,1.0,10.0,14.0,14.0,88.27955793536303,0.33241332587790723,20.328941824716512,0.208,0.208,0.208,0.2,913.7525392756177,0.32927172363933527,244.73901827753582,1.0,1.0,0.984,0.88,0.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
1277.0,1.0,0.0,0.0,0.0,0.0,18.0,11.0,22.0,22.0,22.0,41.0,439.70586766321503,0.1695322201678932,230.1447944803943,0.248,0.248,0.248,0.24,965.8744805606879,0.346911731319376,245.36533437710852,1.0,1.0,0.976,0.976,0.0,10.0,0.0,4.0,4.0,4.0,3.0,2.0,8.0,3.0,0.0,0.0,3.0,3.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
25.0,1.0,0.0,6.0,6.0,18.0,160.0,4.0,12.0,16.0,39.0,302.0,101.90233816430258,0.3268502627517199,24.950167290323723,0.472,0.464,0.408,0.328,234.12923298957216,0.49208699657467675,38.18637988749924,1.0,1.0,0.968,0.896,0.0,10.0,1.0,7.0,7.0,9.0,9.0,1.0,9.0,3.0,0.0,0.0,3.0,2.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
1.0,1.0,3.0,8.0,12.0,12.0,12.0,6.0,12.0,18.0,19.0,19.0,65.4415781519358,0.28825568610688435,17.29208929448118,0.144,0.144,0.144,0.144,632.7991730699237,0.3493246383471347,158.42732043180715,1.0,1.0,0.944,0.816,4.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,7.0,3.0,0.0,0.0,4.0,4.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
111.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,377.46035232806946,0.12159866797181901,276.2987416579756,0.08,0.08,0.08,0.08,1984.1043864596331,0.31800255459318955,554.5998090080137,1.0,1.0,1.0,0.944,0.0,9.0,0.0,2.0,2.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
97.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,13.0,13.0,13.0,51.11130492492626,0.1321575078227391,33.17157323612584,0.048,0.048,0.048,0.048,841.8216748610413,0.336925436534467,219.94336903052903,1.0,1.0,0.976,0.888,2.0,8.0,2.0,6.0,6.0,6.0,6.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,yes
3795.0,3522.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,76.45034645637037,0.14566956645675494,45.3275869266556,0.032,0.032,0.032,0.032,95.13333855585023,0.6182549847616334,8.030111046003764,0.528,0.528,0.528,0.528,0.0,4.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,8.0,9.0,9.0,9.0,9.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,no
1185.0,1185.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,89.0,257.1806261220423,0.25568135436260164,87.3560223009738,0.44,0.44,0.416,0.392,139.23264583851184,0.6355664215646347,14.288978229665151,0.816,0.816,0.8,0.768,1.0,9.0,1.0,1.0,1.0,4.0,4.0,0.0,9.0,1.0,4.0,4.0,5.0,5.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,no
13427.0,12472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.67226341351745,0.4064038671211485,9.132116633188922,0.272,0.272,0.272,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,5.0,7.0,7.0,7.0,7.0,1.0,8.0,2.0,31.0,7.0,3.0,10.0,no
