a-durationLastBug,a-durationLastReport,a-bugsLast8hours,a-bugsLast24hours,a-bugsLast1week,a-bugsLast2week,a-bugsLastPast,a-reportsLast8hours,a-reportsLast24hours,a-reportsLast1week,a-reportsLast2week,a-reportsLastPast,e-probSim,e-cosSim,e-eucSim,e-jacSim0.0,e-jacSim0.1,e-jacSim0.3,e-jacSim0.5,p-probSim,p-cosSim,p-eucSim,p-jacSim0.0,p-jacSim0.1,p-jacSim0.3,p-jacSim0.5,le-probSim,le-cosSim,le-eucSim,le-jacSim0.0,le-jacSim0.1,le-jacSim0.3,le-jacSim0.5,lp-probSim,lp-cosSim,lp-eucSim,lp-jacSim0.0,lp-jacSim0.1,lp-jacSim0.3,lp-jacSim0.5,t-beginHours,t-beforeTasks,t-afterTasks,t-reportNum,t-moreReports,t-lessReports,activeTasks,category
25.0,25.0,0.0,1.0,4.0,5.0,68.0,0.0,1.0,5.0,6.0,120.0,352.19704853680923,0.21028700661462596,167.22537890496002,0.5204081632653061,0.5204081632653061,0.47959183673469385,0.41836734693877553,166.25502639030967,0.6105501917116748,22.842934822102176,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,5.0,48.0,5.0,0.0,5.0,yes
2.0,2.0,4.0,15.0,58.0,100.0,279.0,7.0,18.0,80.0,148.0,420.0,62.119904270867664,0.5883777735351655,6.404379015072738,0.6224489795918368,0.6122448979591837,0.5612244897959183,0.45918367346938777,131.20031415279462,0.7346592695446912,12.63752643410363,1.0,1.0,1.0,1.0,2.0,0.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,44.0,0.0,5.0,48.0,5.0,0.0,5.0,yes
2.0,1.0,3.0,18.0,57.0,129.0,827.0,6.0,21.0,85.0,167.0,1025.0,139.64967010917835,0.57425461305365,19.768786446345324,0.7551020408163265,0.7448979591836735,0.6836734693877551,0.6428571428571429,143.35967706310228,0.7433435951468945,13.775887655198455,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,44.0,0.0,5.0,48.0,5.0,0.0,5.0,yes
12900.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5134.017641077324,0.26985480451209926,1919.1786868060776,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,5.0,48.0,5.0,0.0,5.0,yes
2.0,1.0,5.0,20.0,68.0,132.0,735.0,7.0,22.0,85.0,160.0,879.0,81.95016809595741,0.48131785543840466,13.66320501020886,0.7142857142857143,0.6938775510204082,0.5714285714285714,0.4897959183673469,129.18718376768385,0.7918330160590136,10.472517726076145,1.0,1.0,1.0,0.9795918367346939,1.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,3.0,44.0,0.0,5.0,48.0,5.0,0.0,5.0,yes
25.0,1.0,0.0,13.0,59.0,104.0,467.0,1.0,14.0,67.0,125.0,553.0,75.65439182866389,0.6150325344819734,7.402510017883703,0.6326530612244898,0.6020408163265306,0.5408163265306123,0.45918367346938777,135.28504897714845,0.7768826140859463,11.663012666965393,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,44.0,0.0,5.0,48.0,5.0,0.0,5.0,yes
25.0,25.0,0.0,10.0,46.0,75.0,665.0,0.0,10.0,47.0,80.0,786.0,88.80335128355479,0.6841623686959734,7.7951215954511826,0.7551020408163265,0.7346938775510204,0.6938775510204082,0.6632653061224489,125.6733713144298,0.8350967584639117,8.808633848047878,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,5.0,48.0,5.0,0.0,5.0,yes
25.0,1.0,0.0,7.0,34.0,84.0,377.0,1.0,8.0,49.0,115.0,493.0,101.28772394546995,0.6177021696142575,11.50516990682865,0.7040816326530612,0.7040816326530612,0.6530612244897959,0.5612244897959183,163.87516438766428,0.5388742857305949,26.664278832870504,1.0,1.0,1.0,0.9591836734693877,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,5.0,48.0,5.0,0.0,5.0,yes
26.0,1.0,0.0,0.0,15.0,58.0,623.0,2.0,2.0,20.0,77.0,782.0,66.36739549352635,0.5952421845782616,6.657954793668376,0.6428571428571429,0.6224489795918368,0.5,0.45918367346938777,141.18836102185125,0.7695952255249043,12.584319886916443,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,5.0,48.0,5.0,0.0,5.0,yes
2.0,1.0,7.0,27.0,92.0,130.0,909.0,9.0,29.0,116.0,165.0,1091.0,73.10804525892625,0.5969610301075818,7.797112634119735,0.7040816326530612,0.6632653061224489,0.5612244897959183,0.45918367346938777,129.09357523631357,0.8377358335152166,9.032240277591681,1.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,44.0,0.0,5.0,48.0,5.0,0.0,5.0,yes
