1,Tue Sep 08 00:01:00 CST 2015,4
2,Wed Sep 09 00:01:00 CST 2015,4
3,Wed Nov 11 00:01:00 CST 2015,4
4,Thu Nov 12 00:01:00 CST 2015,4
5,Thu Nov 26 00:01:00 CST 2015,6
6,Fri Nov 27 00:01:00 CST 2015,9
7,Sat Nov 28 00:01:00 CST 2015,10
8,Sun Nov 29 00:01:00 CST 2015,9
9,Mon Nov 30 00:01:00 CST 2015,8
10,Tue Dec 01 00:01:00 CST 2015,5
11,Wed Dec 02 00:01:00 CST 2015,10
12,Thu Dec 03 00:01:00 CST 2015,8
13,Fri Dec 04 00:01:00 CST 2015,8
14,Sat Dec 05 00:01:00 CST 2015,8
15,Sun Dec 06 00:01:00 CST 2015,8
16,Mon Dec 07 00:01:00 CST 2015,5
17,Tue Dec 08 00:01:00 CST 2015,9
18,Wed Dec 09 00:01:00 CST 2015,9
19,Thu Dec 10 00:01:00 CST 2015,9
20,Fri Dec 11 00:01:00 CST 2015,8
21,Sat Dec 12 00:01:00 CST 2015,8
22,Sun Dec 13 00:01:00 CST 2015,8
23,Tue Dec 15 00:01:00 CST 2015,11
24,Wed Dec 16 00:01:00 CST 2015,12
25,Thu Dec 17 00:01:00 CST 2015,10
26,Fri Dec 18 00:01:00 CST 2015,10
27,Sat Dec 19 00:01:00 CST 2015,11
28,Sun Dec 20 00:01:00 CST 2015,12
29,Mon Dec 21 00:01:00 CST 2015,13
30,Tue Dec 22 00:01:00 CST 2015,7
31,Wed Dec 23 00:01:00 CST 2015,10
32,Thu Dec 24 00:01:00 CST 2015,7
33,Fri Dec 25 00:01:00 CST 2015,8
34,Sat Dec 26 00:01:00 CST 2015,8
35,Sun Dec 27 00:01:00 CST 2015,8
36,Mon Dec 28 00:01:00 CST 2015,7
37,Wed Dec 30 00:01:00 CST 2015,6
38,Thu Dec 31 00:01:00 CST 2015,5
39,Fri Jan 01 00:01:00 CST 2016,5
40,Sat Jan 02 00:01:00 CST 2016,5
41,Sun Jan 03 00:01:00 CST 2016,4
42,Mon Jan 04 00:01:00 CST 2016,4
43,Wed Jan 06 00:01:00 CST 2016,4
44,Sun Jan 10 00:01:00 CST 2016,4
45,Mon Jan 11 00:01:00 CST 2016,5
46,Sat Jan 16 00:01:00 CST 2016,4
47,Sun Jan 17 00:01:00 CST 2016,5
48,Thu Jan 28 00:01:00 CST 2016,6
49,Fri Jan 29 00:01:00 CST 2016,7
50,Sat Jan 30 00:01:00 CST 2016,5
51,Sun Jan 31 00:01:00 CST 2016,6
52,Mon Feb 01 00:01:00 CST 2016,6
53,Tue Feb 02 00:01:00 CST 2016,5
54,Fri Feb 19 00:01:00 CST 2016,5
55,Sat Feb 20 00:01:00 CST 2016,5
56,Sun Feb 21 00:01:00 CST 2016,4
57,Mon Feb 22 00:01:00 CST 2016,7
58,Tue Feb 23 00:01:00 CST 2016,4
59,Thu Feb 25 00:01:00 CST 2016,4
60,Fri Mar 04 00:01:00 CST 2016,5
61,Sat Mar 05 00:01:00 CST 2016,6
62,Sun Mar 06 00:01:00 CST 2016,6
63,Mon Mar 07 00:01:00 CST 2016,8
64,Tue Mar 08 00:01:00 CST 2016,6
65,Wed Mar 09 00:01:00 CST 2016,4
66,Thu Mar 10 00:01:00 CST 2016,8
67,Fri Mar 11 00:01:00 CST 2016,8
68,Sat Mar 12 00:01:00 CST 2016,8
69,Sun Mar 13 00:01:00 CST 2016,8
70,Mon Mar 14 00:01:00 CST 2016,8
71,Tue Mar 15 00:01:00 CST 2016,6
72,Wed Mar 16 00:01:00 CST 2016,5
73,Thu Mar 17 00:01:00 CST 2016,6
74,Fri Mar 18 00:01:00 CST 2016,7
75,Tue Mar 29 00:01:00 CST 2016,7
76,Fri Apr 08 00:01:00 CST 2016,6
77,Fri Apr 29 00:01:00 CST 2016,4
78,Sat Apr 30 00:01:00 CST 2016,4
79,Sun May 01 00:01:00 CST 2016,4
80,Thu May 12 00:01:00 CST 2016,6
81,Sun May 15 00:01:00 CST 2016,4
82,Thu May 19 00:01:00 CST 2016,4
83,Sat Jun 04 00:01:00 CST 2016,5
84,Sun Jun 05 00:01:00 CST 2016,7
85,Mon Jun 06 00:01:00 CST 2016,8
86,Tue Jun 07 00:01:00 CST 2016,11
87,Wed Jun 08 00:01:00 CST 2016,7
88,Thu Jun 09 00:01:00 CST 2016,9
89,Fri Jun 10 00:01:00 CST 2016,11
90,Sat Jun 11 00:01:00 CST 2016,11
91,Sun Jun 12 00:01:00 CST 2016,11
92,Mon Jun 13 00:01:00 CST 2016,11
93,Tue Jun 14 00:01:00 CST 2016,8
94,Wed Jun 15 00:01:00 CST 2016,9
95,Thu Jun 16 00:01:00 CST 2016,9
96,Fri Jun 17 00:01:00 CST 2016,4
97,Sat Jun 18 00:01:00 CST 2016,8
98,Sun Jun 19 00:01:00 CST 2016,6
99,Mon Jun 20 00:01:00 CST 2016,9
100,Wed Jun 22 00:01:00 CST 2016,6
